"new_date";"Fecha_tradeo";"Volume_AAPL";"Close_AAPL"
"12/7/2022";"12/7/2022";69721100;140.940002
"12/8/2022";"12/8/2022";62128300;142.649994
"12/9/2022";"12/9/2022";76097000;142.160004
"12/12/2022";"12/12/2022";70462700;144.490005
"12/13/2022";"12/13/2022";93886200;145.470001
"12/15/2022";"12/15/2022";98931900;136.5
"12/16/2022";"12/16/2022";160156900;134.509995
"12/19/2022";"12/19/2022";79592600;132.369995
"12/20/2022";"12/20/2022";77432800;132.300003
"12/22/2022";"12/22/2022";77852100;132.229996
"12/23/2022";"12/23/2022";63814900;131.860001
"12/27/2022";"12/27/2022";69007800;130.029999
"12/29/2022";"12/29/2022";75703700;129.610001
"12/30/2022";"12/30/2022";77034200;129.929993
"1/3/2023";"1/3/2023";112117500;125.07
"1/5/2023";"1/5/2023";80962700;125.019997
"1/6/2023";"1/6/2023";87754700;129.619995
"1/9/2023";"1/9/2023";70790800;130.149994
"1/10/2023";"1/10/2023";63896200;130.729996
"1/12/2023";"1/12/2023";71379600;133.410004
"1/13/2023";"1/13/2023";57809700;134.759995
"1/17/2023";"1/17/2023";63646600;135.940002
"1/19/2023";"1/19/2023";58280400;135.270004
"1/20/2023";"1/20/2023";80223600;137.869995
"1/23/2023";"1/23/2023";81760300;141.110001
"1/24/2023";"1/24/2023";66435100;142.529999
"1/26/2023";"1/26/2023";54105100;143.960007
"1/27/2023";"1/27/2023";70555800;145.929993
"1/30/2023";"1/30/2023";64015300;143
"1/31/2023";"1/31/2023";65874500;144.289993
"2/2/2023";"2/2/2023";118339000;150.820007
"2/3/2023";"2/3/2023";154357300;154.5
"2/6/2023";"2/6/2023";69858300;151.729996
"2/7/2023";"2/7/2023";83322600;154.649994
"2/9/2023";"2/9/2023";56007100;150.869995
"2/10/2023";"2/10/2023";57450700;151.009995
"2/13/2023";"2/13/2023";62199000;153.850006
"2/14/2023";"2/14/2023";61707600;153.199997
"2/16/2023";"2/16/2023";68167900;153.710007
"2/17/2023";"2/17/2023";59144100;152.550003
"2/21/2023";"2/21/2023";58867200;148.479996
"2/23/2023";"2/23/2023";48394200;149.399994
"2/24/2023";"2/24/2023";55469600;146.710007
"2/27/2023";"2/27/2023";44998500;147.919998
"2/28/2023";"2/28/2023";50547000;147.410004
"3/2/2023";"3/2/2023";52238100;145.910004
"3/3/2023";"3/3/2023";70732300;151.029999
"3/6/2023";"3/6/2023";87558000;153.830002
"3/9/2023";"3/9/2023";53833600;150.589996
"3/10/2023";"3/10/2023";68572400;148.5
"3/13/2023";"3/13/2023";84457100;150.470001
"3/14/2023";"3/14/2023";73695900;152.589996
"3/16/2023";"3/16/2023";76161100;155.850006
"3/17/2023";"3/17/2023";98944600;155
"3/20/2023";"3/20/2023";73641400;157.399994
"3/21/2023";"3/21/2023";73938300;159.279999
"3/23/2023";"3/23/2023";67622100;158.929993
"3/24/2023";"3/24/2023";59196500;160.25
"3/27/2023";"3/27/2023";52390300;158.279999
"3/28/2023";"3/28/2023";45992200;157.649994
"3/30/2023";"3/30/2023";49501700;162.360001
"3/31/2023";"3/31/2023";68749800;164.899994
"4/3/2023";"4/3/2023";56976200;166.169998
"4/4/2023";"4/4/2023";46278300;165.630005
"4/6/2023";"4/6/2023";45390100;164.660004
"4/10/2023";"4/10/2023";47716900;162.029999
"4/11/2023";"4/11/2023";47644200;160.800003
"4/12/2023";"4/12/2023";50133100;160.100006
"4/13/2023";"4/13/2023";68445600;165.559998
"4/14/2023";"4/14/2023";49386500;165.210007
"4/17/2023";"4/17/2023";41516200;165.229996
"4/18/2023";"4/18/2023";49923000;166.470001
"4/19/2023";"4/19/2023";47720200;167.630005
"4/20/2023";"4/20/2023";52456400;166.649994
"4/21/2023";"4/21/2023";58337300;165.020004
"4/24/2023";"4/24/2023";41949600;165.330002
"4/25/2023";"4/25/2023";48714100;163.770004
"4/26/2023";"4/26/2023";45498800;163.759995
"4/27/2023";"4/27/2023";64902300;168.410004
"4/28/2023";"4/28/2023";55209200;169.679993
"5/1/2023";"5/1/2023";52472900;169.589996
"5/2/2023";"5/2/2023";48425700;168.539993
"5/4/2023";"5/4/2023";81235400;165.789993
"5/5/2023";"5/5/2023";113316400;173.570007
"5/8/2023";"5/8/2023";55962800;173.5
"5/9/2023";"5/9/2023";45326900;171.770004
